date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:01	24543/24543	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Dec%202023%2009:27:58%20GMT	https://www.koneksistudio.com/	C:/My%20Web%20Sites/momentweb/www.koneksistudio.com/index.html	(from )
16:28:01	65/65	---M--	200	added ('OK')	text/plain	etag:%2262b6c5f4-41%22	https://www.koneksistudio.com/robots.txt		(from )
16:28:01	12072/12072	---M--	200	added ('OK')	image/png	etag:%2262b94c62-2f28%22	https://www.koneksistudio.com/images/favicon/img_6DTxJyn.png	C:/My%20Web%20Sites/momentweb/www.koneksistudio.com/images/favicon/img_6DTxJyn.png	(from https://www.koneksistudio.com/)
16:28:01	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%22634fb545-2606e%22	https://www.koneksistudio.com/templates/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/momentweb/www.koneksistudio.com/templates/assets/css/bootstrap.min.css	(from https://www.koneksistudio.com/)
16:28:02	19179/19179	---MCZ	200	added ('OK')	text/css	etag:W/%22634fb546-4aeb%22	https://www.koneksistudio.com/templates/assets/css/styles.css	C:/My%20Web%20Sites/momentweb/www.koneksistudio.com/templates/assets/css/styles.css	(from https://www.koneksistudio.com/)
16:28:03	8582/8582	---MCZ	200	added ('OK')	text/css	etag:W/%22634fb545-2186%22	https://www.koneksistudio.com/templates/assets/css/custom-1.css?ver=1	C:/My%20Web%20Sites/momentweb/www.koneksistudio.com/templates/assets/css/custom-168b3.css	(from https://www.koneksistudio.com/)
16:28:03	3023/3023	---MCZ	200	added ('OK')	text/css	etag:W/%2262b6c684-bcf%22	https://www.koneksistudio.com/templates/assets/plugins/slick/slick-theme.css	C:/My%20Web%20Sites/momentweb/www.koneksistudio.com/templates/assets/plugins/slick/slick-theme.css	(from https://www.koneksistudio.com/)
16:28:03	1718/1718	---MCZ	200	added ('OK')	text/css	etag:W/%2262b6c684-6b6%22	https://www.koneksistudio.com/templates/assets/plugins/slick/slick.css	C:/My%20Web%20Sites/momentweb/www.koneksistudio.com/templates/assets/plugins/slick/slick.css	(from https://www.koneksistudio.com/)
16:28:03	2532/2532	---MCZ	200	added ('OK')	text/css	etag:W/%22634fb546-9e4%22	https://www.koneksistudio.com/templates/assets/css/lightbox.min.css	C:/My%20Web%20Sites/momentweb/www.koneksistudio.com/templates/assets/css/lightbox.min.css	(from https://www.koneksistudio.com/)
16:28:04	12347/12347	---MCZ	200	added ('OK')	text/css	etag:W/%22634fb545-303b%22	https://www.koneksistudio.com/templates/assets/css/bootstrap-slider.css	C:/My%20Web%20Sites/momentweb/www.koneksistudio.com/templates/assets/css/bootstrap-slider.css	(from https://www.koneksistudio.com/)
16:28:04	11184/11184	---MCZ	200	added ('OK')	text/css	etag:W/%22634fb545-2bb0%22	https://www.koneksistudio.com/templates/assets/css/bootstrap-slider.min.css	C:/My%20Web%20Sites/momentweb/www.koneksistudio.com/templates/assets/css/bootstrap-slider.min.css	(from https://www.koneksistudio.com/)
16:28:05	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%2262b6c653-65c5%22	https://www.koneksistudio.com/templates/assets/aos/aos.css	C:/My%20Web%20Sites/momentweb/www.koneksistudio.com/templates/assets/aos/aos.css	(from https://www.koneksistudio.com/)
16:28:06	59305/59305	---M-Z	200	added ('OK')	text/css	etag:%22613fa20b-3171%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	C:/My%20Web%20Sites/momentweb/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	(from https://www.koneksistudio.com/)
